,Sentence,PreprocessedSentence,Sentiment,PeopleInitially,People,OrganizationsInitially,Organizations,PricesInitially,Prices
19,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,two of these contract be for turntable anode vibrocompactor that be deliver to gansu hualu aluminum co ltd another unnamed costumer,neutral,[],[],['Gansu Hualu Aluminum Co Ltd'],['Gansu Hualu Aluminum Co Ltd'],[],[]
20,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",aviva friend life top forecast ahead of billion pound merger,positive,[],[],['Friends Life'],['Friends Life'],['5.6 billion pound'],['5.6 billion pound']
21,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",stead of be base soft drink as be usual teho energy drink be make with fresh water,neutral,['Teho'],[],[],[],[],[]
22,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,company plan to increase unit specialist staff to several dozen depend market situation during,neutral,[],[],[],[],[],[]
23,The company closed last year with a turnover of about four million euros .,company close last year with turnover of about four million euro,neutral,[],[],[],[],[],[]
24,Shire CEO steps up drive to get Baxalta board talking,shire ceo step up drive to get baxalta board talk,positive,[],[],['Baxalta'],['Baxalta'],[],[]
25,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",fivestorey ecoefficient building have gross floor area of about sq m it also include apartment,neutral,[],[],[],[],[],[]
26,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",first installment of cinema series conclude with profile of finnish inventor olavi linden whose personal artistic journey work at fiskar have lead to dozen of design award,neutral,['Olavi Linden'],['Olavi Linden'],['Fiskars'],['Fiskars'],[],[]
27,All are welcome .,all be welcome,neutral,[],[],[],[],[],[]
28,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",stockmann swedish sector company ab lindex enter into agreement september whereby stockmann whollyowned subsidiary of it make public tender offer for all of lindex issue share,positive,[],[],"['Stockmann', 'AB Lindex', 'Stockmann', 'Lindex']","['Stockmann', 'AB Lindex', 'Lindex']",[],[]
29,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",huhtamaki oyj stock exchange release at huhtamaki capital markets day for institutional investor analyst be hold espoo september start at pm finnish time,neutral,[],[],"['HUHTAMAKI OYJ STOCK EXCHANGE', 'Huhtamaki', 'Capital Markets Day']","['Capital Markets Day', 'HUHTAMAKI OYJ STOCK EXCHANGE', 'Huhtamaki']",[],[]
30,`` We are pleased to welcome Tapeks Noma into Cramo group .,we be pleased to welcome tapek noma into cramo group,positive,[],[],[],[],[],[]
31,- Profit before taxes was EUR 105.9 82.7 million .,profit before taxis be eur million,neutral,[],[],['EUR'],[],[],['EUR 105.9 ']
32,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,royal dutch she to buy bg group for nearly billion,positive,[],[],"['royal Dutch Shell', 'Buy BG Group']","['royal Dutch Shell', 'Buy BG Group']",['nearly $70 billion'],['nearly $70 billion']
33,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",financialwire tm be not press release service receive no compensation for its news opinion distribution,neutral,[],[],[],[],[],[]
34,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,assa abloy kaupthing bank give neutral ' recommendation share price target of crown euro swedish lock maker assa abloy ab,neutral,[],[],"['ASSA ABLOY Kaupthing Bank', 'Assa Abloy AB']","['ASSA ABLOY Kaupthing Bank', 'Assa Abloy AB']",['24.7'],['24.7']
35,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",item include restructuring cost of eur m while year early they be eur m dilute eps stand at eur versus loss per share of eur,positive,['.1 m. Diluted EPS'],['.1 m. Diluted EPS'],"['EUR1', 'EUR 0.1']",[],[],"['EUR1 .6 m', 'EUR13 .1 m', 'EUR 0.1 ', 'EUR0 .3 ']"
36,In 2005 the bank posted a net profit of Lt 8.2 mn .,bank post net profit of lt mn,neutral,[],[],[],[],[],[]
37,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,aapl afternoon selloff as usual be brutal get ready to lose ton of money,negative,[],[],[],[],[],[]
38,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,tsla recall pretty much every single model x cnnbrk get to short that even at work you jump money trade,negative,[],[],[],[],[],[]
39,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",dolce gabbana have ask european union to declare marimekko corporation unikko '' floral pattern trademark invalid continue dispute between two company,negative,[],[],"['Dolce & Gabbana', 'the European Union', ""Marimekko Corporation 's"", 'Unikko']","[""Marimekko Corporation 's"", 'Unikko', 'Dolce & Gabbana']",[],[]
40,InterContinental Hotels first-quarter global room revenue lags estimates,intercontinental hotels firstquarter global room revenue lag estimate,negative,[],[],['InterContinental Hotels'],['InterContinental Hotels'],[],[]
41,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",accord to finnish pension insurance company varma varma be recipient of over two third of revenue of earningsrelate pension cover that be under competitive tendering finland,positive,"['Varma', 'Varma']",[],[],[],[],[]
42,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",portion million be record as part of its winning prior patent dispute with finnish phone maker nokia oyj,positive,[],[],['Nokia'],['Nokia'],['$ 12.5 million'],['$ 12.5 million']
43,"L&G still paying price for dividend cut during crisis, chief says",lg still pay price for dividend cut during crisis chief say,negative,[],[],['l&g'],['l&g'],[],[]
44,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,volume of investment two phase of project be estimate at usd mn eur mn,neutral,[],[],['EUR'],[],[],"['USD 300mn', 'EUR 215.03 mn']"
45,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",russia account for of lagardere magazine division revenue eur mn usd mn usa for,neutral,[],[],"['Lagardere', 'EUR']",['Lagardere'],[],"['USD 148.11 mn', 'EUR 114.40 mn']"
46,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimate already carry out investment to lead to increase its net sale for from when they reach eur million,positive,[],[],['EUR'],[],[],['EUR 141.7 million']
47,Profit of the accounting period was EUR 0.3 mn .,profit of accounting period be eur mn,neutral,[],[],['EUR'],[],[],['EUR 0.3 mn']
48,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",six brewery record percent growth domestic beer sale last year to million liter from million liter sell,positive,[],[],[],[],[],[]
49,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",augustoctober company result before taxis total eur mn up from eur mn corresponding period,positive,[],[],"['EUR 9.6', 'EUR 0.5']",[],[],"['EUR 9.6 mn', 'EUR 0.5 mn']"
50,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",systeemitiimi sale project resource also be strengthen director paul skogberg say,positive,['Paul Skogberg'],['Paul Skogberg'],[],[],[],[]
51,Tesco share price jumps as Q3 sales top estimates,tesco share price jump as q sale top estimate,positive,[],[],['tesco'],['tesco'],[],[]
52,The fine print is here .,fine print be here,neutral,[],[],[],[],[],[]
53,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,price for log have clearly improve from also price of pulpwood have go up,positive,[],[],[],[],[],[]
54,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",thus sysopen digia have accordance with chapter section of finnish company act obtain title to all share of sentera that be to be redeem,neutral,['SysOpen Digia'],['SysOpen Digia'],['Sentera'],['Sentera'],[],[]
55,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,dilute earning per share eps fall to eur from eur,neutral,[],[],"['EPS', 'EUR', 'EUR 1.71']",[],[],"['EUR 1.71 ', 'EUR 0.63 ']"
56,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",at pm eastern time block of contract change hand at bid price of,neutral,[],[],[],[],['0.45'],['0.45']
57,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",some of most recent technology delivery include refinery technology to anrak aluminium iron ore pelletize plant to tata steel iron ore sinter plant to bhushan steel,neutral,['Anrak Aluminium'],['Anrak Aluminium'],"['Tata Steel', 'Bhushan Steel']","['Tata Steel', 'Bhushan Steel']",[],[]
58,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,vip similar pattern like beginning of may do you sell ? same nowwill go up much high after this drop,positive,['VIPS'],[],[],[],[],[]
59,The firm generated sales of 187 mln eur in 2005 .,firm generate sale of mln eur,neutral,[],[],[],[],[],[]
60,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",stora enso have also have meeting with labor authority employment economic development centre representative of government order to find solution,neutral,['Stora Enso'],['Stora Enso'],['Employment and Economic Development Centres'],['Employment and Economic Development Centres'],[],[]
61,AstraZeneca profit down as sales of stalwarts fade,astrazeneca profit down as sale of stalwart fade,negative,[],[],['astrazeneca'],['astrazeneca'],[],[]
62,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",rt andrewnyquist chartology yahoo yhoo crazy look chart near breakout resistance line,positive,[],[],[],[],[],[]
63,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,most bullish stock twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more,positive,"['SBUX', 'SCTY']",[],['gold $'],['gold $'],['$vz $'],[]
64,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",finnish geosentric net sale decrease to eur januarymarch,negative,[],[],"['GeoSentric', 'EUR 939,000']",['GeoSentric'],[],"['EUR 939,000 ']"
65,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",cohen steers inc share represent of share capital voting right,neutral,[],[],"['Cohen & Steers , Inc.']","['Cohen & Steers , Inc.']",[],[]
66,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,more staff have be recruit japan to far complement its network of close to service location more than country worldwide,positive,[],[],[],[],[],[]
67,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper company be negative territory with stora enso r shed pct to eur upmkymmene down pct at eur mreal b pct lower at eur,neutral,['Stora Enso'],['Stora Enso'],['UPM-Kymmene'],['UPM-Kymmene'],[],[]
68,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,kaukotelko centralized administration be dissolve appropriate part of it be transfer to operating activity group administration by end of year,neutral,[],[],"[""Kauko-Telko 's"", 'Group']","['Group', ""Kauko-Telko 's""]",[],[]
69,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,operate profit for quarter apriljune amount to eur m sale of eur bn,neutral,[],[],['EUR3'],[],[],"['EUR182 .2 m', 'EUR3 .62 bn']"
70,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,atria choose delight to attract consumer age group to its atria fresh range of microwaveable meal,neutral,['DeLight'],[],['Atria Fresh'],['Atria Fresh'],[],[]
71,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",finnish it solution provider affecto oyj hel afev say today its slip to net loss of eur usd second quarter of from profit of eur corresponding period year early,neutral,['Affecto Oyj HEL'],[],"['EUR', 'EUR']",[],[],"['EUR 845,000 ', 'USD 152,000 ', 'EUR 115,000 ']"
72,US sanctions put Gazprom-Shell alliance plans in jeopardy,us sanction put gazpromshell alliance plan jeopardy,negative,[],[],['Gazprom-Shell'],['Gazprom-Shell'],[],[]
73,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",profit for period be eur mn down from eur mn,neutral,[],[],"['EUR', 'EUR']",[],[],"['EUR 14.3 mn', 'EUR 10.9 mn']"
74,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",profit for period be eur mn up from eur mn,positive,[],[],"['EUR', 'EUR 1.3']",[],[],"['EUR 5.9 mn', 'EUR 1.3 mn']"
75,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,operating profit fall to eur mn from eur mn second quarter of,neutral,[],[],"['EUR', 'EUR']",[],[],"['EUR 20.3 mn', 'EUR 74.2 mn']"
76,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",however sale return to growth apriljune ceo pekka eloholma say,positive,[],[],['Pekka Eloholma'],['Pekka Eloholma'],[],[]
77,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,operate profit total eur mn of net sale,neutral,[],[],['EUR'],[],[],['EUR 18.6 mn']
78,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",change market situation tough price competition have substantially reduce demand for bread packaging manufacture at kauhava plant accord to company,negative,['Kauhava'],[],[],[],[],[]
79,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",connection with deal digia employ person from nokia oslo silicon valley usa,neutral,[],[],['Nokia'],['Nokia'],[],[]
80,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",brazilian unit of finnish security solution provider fsecure sign up new client last year online news source reseller web quote division commercial director vladimir brando as say,positive,['Vladimir Brand+úo'],['Vladimir Brand+úo'],['Reseller'],['Reseller'],[],[]
81,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,fair value of company investment property go down to eur billion at end of from eur billion year early,neutral,[],[],"['EUR 2.768 billion', 'EUR']",[],[],"['EUR 2.768 billion', 'EUR 2.916 billion']"
82,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",dealer say share be largely hit by investor disappointment about refining margin of just usd per barrel for quarter performance of its shipping unit which see ebit drop to mln eur from mln eur year amid fall volume tanker rate,negative,[],[],[],[],[],[]
83,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",it be testament to quality of our lte solution our commitment to japanese market ' he add,neutral,[],[],[],[],[],[]
84,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,company ' aim be to finalize negotiation sign contract at start of october,neutral,[],[],[],[],[],[]
85,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",metso foundry jyvaskyla oy discontinue production this line by september company say,neutral,['Metso Foundries Jyvaskyla Oy'],[],[],[],[],[]
86,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",total six of poll analyst rate mreal two give buy '' accumulate '' three give hold '' only one give sell '',neutral,[],[],[],[],[],[]
87,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",september finnish group agree to buy danish company rise poultry as for up to eur m combination of cash stock,positive,[],[],"['Rose Poultry A-s', 'EUR23 .9']",['Rose Poultry A-s'],[],['EUR23 .9 m']
88,Tesco share price down as grocer faces SFO investigation outcome,tesco share price down as grocer face sfo investigation outcome,negative,[],[],"['tesco', 'SFO']","['SFO', 'tesco']",[],[]
89,$aapl news is becoming very bullish again http://stks.co/tMU,aapl news be become very bullish again,positive,[],[],[],[],[],[]
90,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",gs engineering install valve at liquefy natural gas lng plant it have build for uae lng extraction gas plant operator gasco ruwais uae,neutral,[],[],"['GS Engineering', 'LNG', 'UAE LNG']","['GS Engineering', 'LNG', 'UAE LNG']",[],[]
91,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,percentage of share voting right have be calculate proportion to total number of share register with trade register total number of voting right relate to they,neutral,[],[],['the Trade Register'],['the Trade Register'],[],[]
92,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",mreal say there be no ground ' for rumor which have be circulate market for some month ',neutral,[],[],[],[],[],[]
93,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",lember say matter be topical also estonia where bill have be draft at social affairs ministry that would scrap oldage pension favorable condition,neutral,[],[],"['Lember', 'the Social Affairs Ministry']","['the Social Affairs Ministry', 'Lember']",[],[]
94,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,moody say it give p longterm senior unsecured p p shortterm debt rating to finnish lender aktia bank eurbn usd bn euro mediumterm note emtn program of march,neutral,[],[],"[""Moody 's"", ""Aktia Bank 's"", 'euro', 'EMTN']","['EMTN', ""Aktia Bank 's"", ""Moody 's""]",[],"['EUR1bn', 'USD1 .4 bn']"
95,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",liquidity providing be interrupt may when aspocomp group oyj share trade below cent aspocomp stock exchange release,neutral,[],[],"[""Aspocomp Group Oyj 's"", 'Aspocomp']","['Aspocomp', ""Aspocomp Group Oyj 's""]",['below 0.50 cent'],['below 0.50 cent']
96,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,hargreave lansdown buck weak market to see asset rise percent,positive,[],[],['hargreave Lansdown'],['hargreave Lansdown'],[],[]
97,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",at pm omx helsinki index be pct low at,negative,[],[],[],[],[],[]
98,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",decision mean temporary layoff of fix duration at company nastola jyvaskyla unit southern central finland respectively,neutral,[],[],[],[],[],[]
99,The value of the orders is over EUR 10mn .,value of order be over eur mn,neutral,[],[],[],[],[],['EUR 10mn']
100,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,ms laakso be responsible for hkscan hr function for their development all of group smarket area,neutral,['Ms Laakso'],['Ms Laakso'],"['HKScan', 'Group']","['HKScan', 'Group']",[],[]
101,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",fiskar be also engage global supply of marine energy equipment solution service through its associated company wartsila corporation,neutral,[],[],['Wartsila Corporation'],['Wartsila Corporation'],[],[]
102,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,finland dominate rail company vr be plan to set infect passenger for longdistance trip separate carriage,neutral,[],[],['VR'],['VR'],[],[]
103,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",november finnish government decrease its ownership company far to percent from percent,neutral,[],[],[],[],[],[]
104,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",finnish exel composite technology company that design manufacture market composite profile tube for various industrial application report its net sale decrease by second quarter of to eur mn from eur mn corresponding period,neutral,[],[],"['EUR', 'EUR']",[],[],"['EUR 19.3 mn', 'EUR 19.2 mn']"
105,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",of bavelloni nst joint venture bavelloni tool complete semiproduct that be produce italy into highquality tool that be sell under diapol brand,neutral,"['Bavelloni', 'Bavelloni Tools']",['Bavelloni Tools'],['NST'],['NST'],[],[]
106,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,tool be patent pende design that allow consumer to lay out their entire project removable plate use multiple clear stamp of any kind,neutral,[],[],[],[],[],[]
107,$GOOGL is a short below 740 into the upper BB and is overbought,googl be short below into upper bb be overbought,negative,['GOOGL'],[],[],[],[],[]
108,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",light out before curfew curl up with late bestseller treat your eye to perfect reading light from luceplan,neutral,[],[],[],[],[],[]
109,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",upmkymmene corp world large maker of magazine paper tuesday report percent profit drop as low paper price high cost strong euro hurt revenue,negative,[],[],['UPM-Kymmene Corp.'],['UPM-Kymmene Corp.'],[],[]
110,The total value of the contract is some EUR 8 million .,total value of contract be some eur million,neutral,[],[],[],[],[],['EUR 8 million']
111,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",prerequisite for inclusion program for receipt of any gain be that key employee acquire aspo share to amount determine by board advance maximum,neutral,[],[],"['Aspo', 'Board']","['Aspo', 'Board']",[],[]
112,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,mr doring have be with eaton since act as business unit manager for eaton power controls business unit since january,neutral,['Doring'],[],"['Eaton', 'Power Controls Business Unit']","['Eaton', 'Power Controls Business Unit']",[],[]
113,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",sq m sq ft store copenhagen premier shopping district be inaugurate today far strengthen company presence nordic capital,positive,[],[],['Copenhagen'],['Copenhagen'],[],[]
114,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",financial statement for first quarter of tikkurila be report under discontinued operation,neutral,['Tikkurila'],[],[],[],[],[]
