,Sentence,PreprocessedSentence,Sentiment
36,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,assa abloy kaupthing bank give neutral ' recommendation share price target of crown euro swedish lock maker assa abloy ab,neutral
37,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",item include restructuring cost of eur m while year early they be eur m dilute eps stand at eur versus loss per share of eur,positive
38,In 2005 the bank posted a net profit of Lt 8.2 mn .,bank post net profit of lt mn,neutral
39,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,aapl afternoon selloff as usual be brutal get ready to lose ton of money,negative
40,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,tsla recall pretty much every single model x cnnbrk get to short that even at work you jump money trade,negative
41,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",dolce gabbana have ask european union to declare marimekko corporation unikko '' floral pattern trademark invalid continue dispute between two company,negative
42,InterContinental Hotels first-quarter global room revenue lags estimates,intercontinental hotels firstquarter global room revenue lag estimate,negative
43,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",accord to finnish pension insurance company varma varma be recipient of over two third of revenue of earningsrelate pension cover that be under competitive tendering finland,positive
44,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",portion million be record as part of its winning prior patent dispute with finnish phone maker nokia oyj,positive
45,"L&G still paying price for dividend cut during crisis, chief says",lg still pay price for dividend cut during crisis chief say,negative
46,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,volume of investment two phase of project be estimate at usd mn eur mn,neutral
47,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",russia account for of lagardere magazine division revenue eur mn usd mn usa for,neutral
48,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimate already carry out investment to lead to increase its net sale for from when they reach eur million,positive
49,Profit of the accounting period was EUR 0.3 mn .,profit of accounting period be eur mn,neutral
50,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",six brewery record percent growth domestic beer sale last year to million liter from million liter sell,positive
51,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",augustoctober company result before taxis total eur mn up from eur mn corresponding period,positive
52,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",systeemitiimi sale project resource also be strengthen director paul skogberg say,positive
53,Tesco share price jumps as Q3 sales top estimates,tesco share price jump as q sale top estimate,positive
54,The fine print is here .,fine print be here,neutral
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,price for log have clearly improve from also price of pulpwood have go up,positive
56,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",thus sysopen digia have accordance with chapter section of finnish company act obtain title to all share of sentera that be to be redeem,neutral
57,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,dilute earning per share eps fall to eur from eur,neutral
58,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",at pm eastern time block of contract change hand at bid price of,neutral
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",some of most recent technology delivery include refinery technology to anrak aluminium iron ore pelletize plant to tata steel iron ore sinter plant to bhushan steel,neutral
60,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,vip similar pattern like beginning of may do you sell ? same nowwill go up much high after this drop,positive
61,The firm generated sales of 187 mln eur in 2005 .,firm generate sale of mln eur,neutral
62,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",stora enso have also have meeting with labor authority employment economic development centre representative of government order to find solution,neutral
63,AstraZeneca profit down as sales of stalwarts fade,astrazeneca profit down as sale of stalwart fade,negative
64,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",rt andrewnyquist chartology yahoo yhoo crazy look chart near breakout resistance line,positive
65,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,most bullish stock twitter during this dip yhoo gdx googl stz gold ew vz celg sbux scty more,positive
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",finnish geosentric net sale decrease to eur januarymarch,negative
67,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",cohen steers inc share represent of share capital voting right,neutral
68,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,more staff have be recruit japan to far complement its network of close to service location more than country worldwide,positive
69,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper company be negative territory with stora enso r shed pct to eur upmkymmene down pct at eur mreal b pct lower at eur,neutral
70,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,kaukotelko centralized administration be dissolve appropriate part of it be transfer to operating activity group administration by end of year,neutral
71,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,operate profit for quarter apriljune amount to eur m sale of eur bn,neutral
72,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,atria choose delight to attract consumer age group to its atria fresh range of microwaveable meal,neutral
73,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",finnish it solution provider affecto oyj hel afev say today its slip to net loss of eur usd second quarter of from profit of eur corresponding period year early,neutral
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,us sanction put gazpromshell alliance plan jeopardy,negative
75,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",profit for period be eur mn down from eur mn,neutral
76,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",profit for period be eur mn up from eur mn,positive
77,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,operating profit fall to eur mn from eur mn second quarter of,neutral
78,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",however sale return to growth apriljune ceo pekka eloholma say,positive
79,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,operate profit total eur mn of net sale,neutral
80,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",change market situation tough price competition have substantially reduce demand for bread packaging manufacture at kauhava plant accord to company,negative
81,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",connection with deal digia employ person from nokia oslo silicon valley usa,neutral
82,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",brazilian unit of finnish security solution provider fsecure sign up new client last year online news source reseller web quote division commercial director vladimir brando as say,positive
83,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,fair value of company investment property go down to eur billion at end of from eur billion year early,neutral
84,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",dealer say share be largely hit by investor disappointment about refining margin of just usd per barrel for quarter performance of its shipping unit which see ebit drop to mln eur from mln eur year amid fall volume tanker rate,negative
85,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",it be testament to quality of our lte solution our commitment to japanese market ' he add,neutral
86,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,company ' aim be to finalize negotiation sign contract at start of october,neutral
87,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",metso foundry jyvaskyla oy discontinue production this line by september company say,neutral
88,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",total six of poll analyst rate mreal two give buy '' accumulate '' three give hold '' only one give sell '',neutral
89,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",september finnish group agree to buy danish company rise poultry as for up to eur m combination of cash stock,positive
91,Tesco share price down as grocer faces SFO investigation outcome,tesco share price down as grocer face sfo investigation outcome,negative
92,$aapl news is becoming very bullish again http://stks.co/tMU,aapl news be become very bullish again,positive
93,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",gs engineering install valve at liquefy natural gas lng plant it have build for uae lng extraction gas plant operator gasco ruwais uae,neutral
94,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,percentage of share voting right have be calculate proportion to total number of share register with trade register total number of voting right relate to they,neutral
95,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",mreal say there be no ground ' for rumor which have be circulate market for some month ',neutral
96,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",lember say matter be topical also estonia where bill have be draft at social affairs ministry that would scrap oldage pension favorable condition,neutral
97,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,moody say it give p longterm senior unsecured p p shortterm debt rating to finnish lender aktia bank eurbn usd bn euro mediumterm note emtn program of march,neutral
99,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",liquidity providing be interrupt may when aspocomp group oyj share trade below cent aspocomp stock exchange release,neutral
100,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,hargreave lansdown buck weak market to see asset rise percent,positive
101,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",at pm omx helsinki index be pct low at,negative
102,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",decision mean temporary layoff of fix duration at company nastola jyvaskyla unit southern central finland respectively,neutral
103,The value of the orders is over EUR 10mn .,value of order be over eur mn,neutral
104,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,ms laakso be responsible for hkscan hr function for their development all of group smarket area,neutral
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",fiskar be also engage global supply of marine energy equipment solution service through its associated company wartsila corporation,neutral
107,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,finland dominate rail company vr be plan to set infect passenger for longdistance trip separate carriage,neutral
108,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",november finnish government decrease its ownership company far to percent from percent,neutral
109,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",finnish exel composite technology company that design manufacture market composite profile tube for various industrial application report its net sale decrease by second quarter of to eur mn from eur mn corresponding period,neutral
110,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",of bavelloni nst joint venture bavelloni tool complete semiproduct that be produce italy into highquality tool that be sell under diapol brand,neutral
111,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,tool be patent pende design that allow consumer to lay out their entire project removable plate use multiple clear stamp of any kind,neutral
112,$GOOGL is a short below 740 into the upper BB and is overbought,googl be short below into upper bb be overbought,negative
113,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",light out before curfew curl up with late bestseller treat your eye to perfect reading light from luceplan,neutral
114,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",upmkymmene corp world large maker of magazine paper tuesday report percent profit drop as low paper price high cost strong euro hurt revenue,negative
115,The total value of the contract is some EUR 8 million .,total value of contract be some eur million,neutral
116,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",prerequisite for inclusion program for receipt of any gain be that key employee acquire aspo share to amount determine by board advance maximum,neutral
117,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,mr doring have be with eaton since act as business unit manager for eaton power controls business unit since january,neutral
118,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",sq m sq ft store copenhagen premier shopping district be inaugurate today far strengthen company presence nordic capital,positive
119,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",financial statement for first quarter of tikkurila be report under discontinued operation,neutral
120,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second large stainless steel maker say net profit threemonth period until dec surge to euro million us million euro we per share from euro million euro per share previous year,positive
121,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",name of applicant jot automation oyname of inventor mammila tuomo piirainen mika kellokoski mikaapplication no kolnp adate of filing of application publication date,neutral
122,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,netflix grow effort to create loyal customer nflx,positive
123,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",omx nordic omxn index comprise most trade nordic stock nasdaq omx exchange close down at point thursday,negative
124,$AAPL nibbling on a small long via 525.. buying off 13min charts..,aapl nibble small long via buy off min chart,positive
125,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,operate margin of aker yard cruise ferries division go down from to first quarter of,negative
126,"$TYC just about to break out to new highs, lots of technicals looking great right now.",tyc just about to break out to new high lot of technical look great right now,positive
127,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",eero katajavuori currently group vice president human resource take yearlong sabbatical start from october,neutral
128,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",be up with lulu ? number look good not great good I think conference call instill confidence,neutral
129,The adjustment measures will be carried out in phases to secure the delivery capability .,adjustment measure be carry out phase to secure delivery capability,neutral
130,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",alma medium corporation press release march tyrvaan sanomat paikallissanomat be buy by suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appear sastamala its neighbouring municipality be to be buy by suomen paikallissanomat oy,neutral
131,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",temporary layoff affect entire workforce also be implement,negative
132,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",meeting for medium analyst be hold same day at am at stonesoft headquarters helsinki italahdenkatu interim report be present by stonesoft ceo ilkka hiidenheimo,neutral
133,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",finnish samporosenlew manufacture approximately seven forest machine monthly about half of machine be export,neutral
134,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",facebook near buy point last week face different technical test today fb aapl nflx,positive
135,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",february finnish broadband data communication system provider teleste oyj hel tltv say wednesday its net profit rocket to eur m from eur it lift its dividend proposal,positive
136,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,free ha heeeeeere come pump ! so glad I pick up k end of day ! get ready for bull ride !,positive
137,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",finnish technology group aspocomp group oyj omx helsinki acgv issue its third quarter report thursday november post operate profit of eur m as compare to loss of eur m third quarter of,positive
138,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",building complex consist of highquality office retail space total square metre company say,neutral
139,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,finnish insurance company fennia kesko group be end their loyal customer cooperation,neutral
140,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,unit be plan to be operational during second half of full stream,neutral
141,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",itg share deal be estimate at some euro,neutral
142,The plant is expected to enter commercial operation by mid-2009 .,plant be expect to enter commercial operation by mid,neutral
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,aspo have also investigate sale opportunity of kaukomarkkinat electronic business,neutral
144,BG Group appoints new CEO one month early,bg group appoint new ceo one month early,neutral
145,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,acquisition have immediate positive impact aspocomp financial result,positive
146,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",finnair passenger load factor which measure number of sell seat as share of all available seat drop by percentage point to september,negative
147,RT @bman1 $LNG looks primed also $EGHT poised to run too...,rt bman lng looks prime also eght poise to run too,positive
148,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,it be also pct above month volume weight average price of stock,positive
149,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,coke dividend google dividend for passive income coke take it goog ko,neutral
150,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",profit before taxis be eur mn up from eur mn year early,positive
151,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,subsidiary be set up facility for manufacture highdensity interconnection print circuit board pcb at nokia special economic zone at sriperumbudur near chennai,neutral
152,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,crm sep call be since entry bang,positive
153,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",januaryjune dilute loss per share stand at eur versus eur first half of,negative
154,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,rapala say it estimate it make saving of mln eur year by centralise its french operation at one site,positive
155,$VMW  Got a nice push today following small sweepers of May C this morning,vmw get nice push today follow small sweeper of may c this morning,positive
156,That topped consensus forecasts for earnings of 0.21 euros a share .,that top consensus forecast for earning of euro share,positive
158,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",future company intend to look for knowhow from outside company to cooperate with other actor sector,positive
159,"You need to be ready when the window opens up , Rosberg said .",you need to be ready when window open up rosberg say,neutral
160,"More than 50,000 tonnes of asphalt mix will be used in the contract .",more than tonne of asphalt mix be use contract,neutral
161,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",pa jpmorgan chase co nyse jpm pohjoa bank be joint leadmanager senior unsecured deal,neutral
162,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,ctrp break out here good vol parser buy signal notice this bob lang comment look for fast,positive
163,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",sale finland decrease by january while sale outside finland drop by,neutral
164,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",pulp production finnish kemijrvi also be liquidate about employee loose their job,negative
165,Nordea was the cheapest also for a couple in their 30s with debt .,nordea be cheap also for couple their s with debt,neutral
166,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",jussi pesonen member of sampo board since renounce his seat sampo board,neutral
167,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",tesla be recall model x car tsla,negative
168,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjust for change group structure division net sale increase by,positive
169,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",make matter more difficult company say it have be grapple with high oil gas price which have push up cost of energy raw material transportation,neutral
170,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,amending of proposal simplifie propose plan increase incentive for key employee to stay company,positive
171,The solution will now be expanded to include all ground staff tasks .,solution now be expand to include all ground staff task,neutral
172,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",operate loss total eur mn compare to profit of eur mn third quarter of,negative
